GENE_SYMBOLS,refseq_ids
TRAPPC2L,NM_001318524
ATP5MF,NM_001003713
ETV6,NM_001413913
BACH2,NM_001170794
S100A13,NM_001024210
APOL2,NM_030882
CTSZ,NM_001336
RETREG1,NM_001034850
AKAP13,NM_001270546
CFAP54,NM_001306084
GAB2,NM_012296
TSPAN13,NM_014399
ATP6V1G1,NM_004888
SERPINA3,NM_001085
CBX3,NM_001410866
ATP6V1F,NM_001198909
MAP3K14,NM_003954
MARVELD1,NM_031484
ANKRD65,NM_001145210
C2CD6,NM_001168216
PRKAR2B,NM_002736
A2ML1,NM_001282424
COL10A1,NM_000493
TMEM158,NM_015444
SLC39A7,NM_001077516
TTC9B,NM_152479
NDUFA2,NM_001185012
NAPB,NM_001283018
ELL2,NM_012081
POLD4,NM_001256870
NAP1L5,NM_153757
PGRMC1,NM_001282621
PCDHB13,NM_018933
ARL6IP1,NM_001313858
EMG1,NM_001320049
TMEM130,NM_001134450
CRYAB,NM_001289807
SYNPO,NM_001109974
YOD1,NM_001276320
CYBC1,NM_001033046
SCAMP5,NM_001178111
UBE2M,NM_003969
FAM241B,NM_145306
SNRPC,NM_003093
RAB13,NM_001272038
ZNF10,NM_015394
WDR49,NM_001348951
ACSS2,NM_001076552
S100A16,NM_001317007
ZSCAN18,NM_001145542
DDN,NM_015086
SLC44A3,NM_001114106
RHOB,NM_004040
FAM151B,NM_205548
ARL4A,NM_001037164
PAM16,NM_016069
BORCS8,NM_001145783
ITPRIP,NM_001272012
RPL22,NM_000983
NOP10,NM_018648
SLC2A9,NM_001001290
GSG1L,NM_001109763
