"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","edgeR_DE_BHQ","diff_mesor_BHQ"
"CEBPG","CEBPG","MA0838.1","2.16547",0.0147767,0.781854,0.775369,0.0569739,295,"False",0.112814421153846,6.9016949549244e-05,0.276126042357652,0.730544869639174,0.732012586066188,-0.570506771489356,0.958982353392364,0.976745850152832,0.958982353392364
"Plagl1","Plagl1","MA1615.1","2.09192",0.0179589,0.833375,0.825969,0.0514217,295,"False",0.135803491428571,0.00222497960109377,0.00256330808393796,0.366239923260334,0.36805733692327,0.476358653359398,0.574059391728259,0.323317315338056,0.574059391728259
"THAP11","THAP11","MA1573.1","2.05092",0.0195253,0.720622,0.713794,0.0714381,295,"True",0.146255549056604,0.153699636289666,0.0318758558656622,0.24533647959175,0.246751349953081,0.84212135827332,0.696745192032705,0.662535428630224,0.696745192032705
"EWSR1-FLI1","EWSR1-FLI1","MA0149.1","2.02569",0.0210023,0.695244,0.688734,0.054329,295,"False",0.155848842990654,NA,NA,NA,NA,NA,NA,NA,NA
"GMEB2","GMEB2","MA0862.1","2.00503",0.0219732,0.819239,0.813104,0.0576193,295,"False",0.161543711111111,0.523133859433627,0.60552972961011,NA,NA,NA,0.839814097126083,0.61220407766448,0.839814097126083
"NR2C2","NR2C2","MA0504.1","1.9364",0.0259378,0.828045,0.823751,0.0382806,295,"False",0.187913814545455,0.402056473031875,0.277010757371613,NA,NA,NA,0.114398968750216,0.431767702098037,0.114398968750216
"HEY2","HEY2","MA0649.1","1.93581",0.0260334,0.82094,0.814695,0.0520372,295,"False",0.187913814545455,NA,NA,NA,NA,NA,NA,NA,NA
"Zic1","Zic1::Zic2","MA1628.1","1.92276",0.0268913,0.875643,0.869542,0.0476122,295,"False",0.190640108928571,NA,NA,NA,NA,NA,NA,NA,NA
"Zic2","Zic1::Zic2","MA1628.1","1.92276",0.0268913,0.875643,0.869542,0.0476122,295,"False",0.190640108928571,NA,NA,NA,NA,NA,NA,NA,NA
"MZF1","MZF1","MA0057.1","1.90486",0.0279608,0.914264,0.909997,0.0364681,295,"False",0.195922285964912,3.19730234362617e-07,0.309330485981304,0.233837622423147,0.235339862494739,-0.844672610786633,0.254434911662061,0.224199455645028,0.254434911662061
"MYC","MYC","MA0147.3","1.90139",0.0281299,0.814112,0.807524,0.0598388,295,"False",0.195922285964912,NA,NA,NA,NA,NA,NA,NA,NA
"TFAP2A","TFAP2A","MA0003.4","1.89709",0.0285362,0.824921,0.81862,0.0494858,295,"False",0.197023850434783,NA,NA,NA,NA,NA,NA,NA,NA
"ERG","ERG","MA0474.2","1.87291",0.0299636,0.854115,0.84857,0.054095,295,"False",0.205095675862069,NA,NA,NA,NA,NA,NA,NA,NA
"NFYB","NFYB","MA0502.2","1.82929",0.0330335,0.80935,0.803189,0.0632227,295,"False",0.22417605982906,1.75633598383374e-05,0.203297302239033,0.488317555508378,0.490328599411045,-0.889141432686776,0.683186410497695,0.420344016712901,0.683186410497695
"IRF6","IRF6","MA1509.1","1.80586",0.0348252,0.797405,0.792275,0.052557,295,"False",0.234332277966102,NA,NA,NA,NA,NA,NA,NA,NA
"ATF6","ATF6","MA1466.1","1.69122",0.0447011,0.740184,0.735722,0.0473896,295,"False",0.298257759663866,5.47741182731884e-06,0.14029541483375,NA,NA,NA,0.846407300257457,0.928787360696086,0.846407300257457
"NFYA","NFYA","MA0060.3","1.64464",0.0492577,0.824994,0.818924,0.067702,295,"False",0.325921781666667,0.775043217150689,0.678386797817695,NA,NA,NA,0.609052322024312,0.289852380605596,0.609052322024312
