TF_NAME,Pscan_TERM,MATRIX_ID,Z_SCORE,P_VALUE,SAMPLE_AVERAGE,BACKGROUND_AVERAGE,SAMPLE_DEVSTD,SAMPLE_SIZE,In_original_list,FDR
ASCL1,ASCL1,MA1631.1,-1.0473,0.852603,0.831144,0.840361,0.0448297,38.0,False,0.9808576972010178
Shox2,Shox2,MA0720.1,-1.0544,0.854271,0.838224,0.85139,0.0764976,38.0,False,0.9808576972010178
ZNF135,ZNF135,MA1587.1,-1.05944,0.855374,0.775631,0.785202,0.0429223,38.0,False,0.9808576972010178
Sox1,Sox1,MA0870.1,-1.06028,0.855565,0.682436,0.692287,0.043833,38.0,False,0.9808576972010178
TBX19,TBX19,MA0804.1,-1.06172,0.855961,0.675782,0.682991,0.0453902,38.0,False,0.9808576972010178
FOSL2,FOSL2::JUN,MA1130.1,-1.07276,0.858376,0.795842,0.805799,0.041624,38.0,False,0.9808576972010178
JUN,FOSL2::JUN,MA1130.1,-1.07276,0.858376,0.795842,0.805799,0.041624,38.0,False,0.9808576972010178
ZNF24,ZNF24,MA1124.1,-1.07746,0.859434,0.698337,0.709547,0.0487464,38.0,False,0.9808576972010178
HOXC13,HOXC13,MA0907.1,-1.09206,0.862691,0.767178,0.777553,0.0514565,38.0,False,0.9808576972010178
MSX1,MSX1,MA0666.1,-1.09209,0.862733,0.849989,0.861427,0.0667081,38.0,False,0.9808576972010178
MEIS3,MEIS3,MA0775.1,-1.0998,0.864419,0.87755,0.886699,0.0527885,38.0,False,0.9808576972010178
TFAP2C,TFAP2C,MA0814.2,-1.10497,0.865476,0.814719,0.825276,0.041898,38.0,False,0.9808576972010178
NFIB,NFIB,MA1643.1,-1.10644,0.865828,0.703433,0.711735,0.0407548,38.0,False,0.9808576972010178
FOSL2,FOSL2::JUND,MA1144.1,-1.11225,0.867045,0.790362,0.801056,0.0415829,38.0,False,0.9808576972010178
JUND,FOSL2::JUND,MA1144.1,-1.11225,0.867045,0.790362,0.801056,0.0415829,38.0,False,0.9808576972010178
LHX5,LHX5,MA1519.1,-1.11695,0.868099,0.816016,0.830107,0.0729125,38.0,False,0.9808576972010178
Lhx8,Lhx8,MA0705.1,-1.12018,0.868806,0.851826,0.863363,0.0645485,38.0,False,0.9808576972010178
FOSL1,FOSL1::JUN,MA1128.1,-1.129,0.870621,0.788895,0.799226,0.0425857,38.0,False,0.9808576972010178
JUN,FOSL1::JUN,MA1128.1,-1.129,0.870621,0.788895,0.799226,0.0425857,38.0,False,0.9808576972010178
GLI3,GLI3,MA1491.1,-1.13545,0.872018,0.774494,0.782675,0.0426198,38.0,False,0.9808576972010178
TCF4,TCF4,MA0830.2,-1.13638,0.872186,0.828872,0.838917,0.0453457,38.0,False,0.9808576972010178
MYOG,MYOG,MA0500.2,-1.13794,0.872599,0.816055,0.827764,0.0761875,38.0,False,0.9808576972010178
FOSL2,FOSL2::JUNB,MA1138.1,-1.13898,0.872707,0.788316,0.799716,0.0438503,38.0,False,0.9808576972010178
JUNB,FOSL2::JUNB,MA1138.1,-1.13898,0.872707,0.788316,0.799716,0.0438503,38.0,False,0.9808576972010178
HIC2,HIC2,MA0738.1,-1.14429,0.873861,0.897138,0.90489,0.0404179,38.0,False,0.9808576972010178
